,Tweet,Tweet ID,Author ID,Num_retweets,Hashtags,followers_IDs
0,@jadler1969 He's an idiot.  The ruling had nothing to do with the legality of the law.  It was about standing.  Whitehouse is such an idiot,1405845996718931973,77357314,0,[],"[1337819068355600384, 81305054, 1196490327709945857, 2904934463, 303570847, 1666644877, 195085447, 18397420, 146869174, 31824920]"
0,@seagod22 @MichaelGalanin @RufusKings1776 No you fuckin idiot.,1405846001097887747,1396961488007569409,0,[],[]
0,"RT @Editor_of_Eric: NEWS

- Supreme Court bans orange bankrupt gameshow hosts from presidency

- COGNITIVE DISSONANT: Ronny Jackson

- Roy…",1405846002179862530,187680232,0,[],"[3024999299, 1184289089559785472, 809855349763100672, 1006741551630946306, 831911735510568962, 886301301281259524, 817923454456373249, 558818756, 4100708253, 1285938806336770049]"
0,"@KirkSeriousFace Suddenly Luka's assists are not as classy and reminds him of Harden's...😂

It is a good thing if S… https://t.co/IVg55CaBKl",1405846009549369345,1006284177900232704,0,[],"[1210591171, 845909725074087940, 992033796072632320, 1264149041031663617, 1203888258763108353, 1066825676, 1184604578475589632, 1011238130924605440, 1343936386035015681, 1401304003863056384]"
0,RT @enhypen_parkjay: this vid is making me cry 😭 https://t.co/az20bzAYzP,1405849365646823424,1405536871778689035,0,[],"[1296818947598061569, 1279335701322981377]"
0,@jaeochaa lu ga annoying,1405849365747363842,1273277010370940928,0,[],"[1174650609271595009, 1372812841426644995, 1301904216831664129, 1293737065859788800, 1404940190448177153, 1388733735902744579, 1364068612810571778, 1400294888747376643, 1167796982804434946, 1376186552796073988]"
0,RT @SUADIETS: rt if ur really fucking annoying,1405849366200406023,1327440146388582402,0,[],"[1399598624242343936, 1338634837163466755, 1318400972285247488, 911709313311309825, 1279060323526475777, 1401676437560561665, 1139631212669165568, 1378841423378800641, 1279891736848994305, 1342751897292337153]"
0,RT @georgieweare97: Miss you princess 👸🏻 @blasianflex first girl I got to use my strap on 😈! I need more girls to fuck! I’m hooked 🤤 https:…,1405849366485602307,1198408673007198209,0,[],"[1053177213153988608, 1388335343049531393, 899154648795369474, 1302628030213312515, 1339193613071253504, 1315987450376970241, 1405058337557909504, 1387511590732419079, 1385536313999249411, 1055210693216165898]"
0,@WendyGoodes @Sflecce @Sflecce thinks we are too stupid to notice.,1405849366536011776,1051348950,0,[],"[1404610542514409474, 1090050702083264512, 1315320594515267584, 1400163546152030210, 1376193128483393537, 554319558, 319095579, 2466331782, 2262160692, 283489788]"
0,had a cry in the loos at work holy hell I’m really upset about this.. it always hits so close to home when it’s a y… https://t.co/m4aHxJGpbc,1405849366389211141,2342154243,0,[],"[937600706, 1237958644341321728, 1400384115052990464, 1255575144430362624, 1335761620291571713, 1608983478, 1341423692455165952, 1159481748541104129, 1392135051366649859, 954278278101196800]"
0,dogs irritate the fuck out of me being picky about where to use the restroom,1405849366707982339,57195876,0,[],"[79343998, 429463986, 889861933981192192, 1402835105559818241, 276230298, 245509778, 1211237700042256384, 1178490878819803136, 355766324, 324709103]"
